id,comp,cat,plat,crit,sup,country,cont,flag,geo,q,price,moq,aec,lt,ndaa,note,moqraw
AF-01,Carbon fiber fuselage,Airframe & Structure,P1/P2,High,Toray Composite Materials America,USA,North America,🇺🇸,Low,5,$180–$320/kg prepreg,50 kg,"$85,000–$150,000/yr",2–4 wks,Yes,"Toray T700/T800 series; aerospace-grade UAV prepreg; CA distributor (Tacoma, WA)",
AF-01,Carbon fiber fuselage,Airframe & Structure,P1/P2,High,Hexcel Corporation,USA,North America,🇺🇸,Low,5,$200–$380/kg,50 kg,"$90,000–$170,000/yr",3–5 wks,Yes,HexPly M78 & M901 prepregs; authorized UAV distributor Coast-Line Intl (CA),
AF-01,Carbon fiber fuselage,Airframe & Structure,P1/P2,High,DragonPlate (Allred & Associates),USA,North America,🇺🇸,Low,4,$90–$250/kg sheet,5 sheets,"$30,000–$80,000/yr",1–2 wks,Yes,Off-shelf + custom UAV parts; ships same-week from NY; good for prototyping,
AF-01,Carbon fiber fuselage,Airframe & Structure,P1/P2,High,Protech Composites,USA,North America,🇺🇸,Low,4,$70–$180/kg,10 kg,"$25,000–$60,000/yr",1–3 wks,Yes,UAV-focused CF sheet & tube supplier; WA state,
AF-01,Carbon fiber fuselage,Airframe & Structure,P1/P2,High,SGL Carbon,Germany,Europe,🇩🇪,Low,5,$160–$300/kg,100 kg,"$100,000–$200,000/yr",6–10 wks,Yes,Premium aerospace CF fiber; longer lead; good second source for EU-origin diversity,
AF-01,Carbon fiber fuselage,Airframe & Structure,P1/P2,High,Xinbo Composites,China,Asia,🇨🇳,High,3,$35–$80/kg,100 kg,"$15,000–$40,000/yr",8–14 wks incl. ship,No,Low cost; high geo risk; tariff exposure; NDAA concern for defense-adjacent use,
AF-02,EPS/polystyrene outer shell,Airframe & Structure,P1/P2,Low,Universal Forest Products,USA,North America,🇺🇸,Low,3,$2–$8/unit,500 units,"$5,000–$20,000/yr",1–2 wks,Yes,Commodity EPS foam; easily dual-sourced; very low supply risk,
AF-02,EPS/polystyrene outer shell,Airframe & Structure,P1/P2,Low,Radva Corporation,USA,North America,🇺🇸,Low,3,$3–$10/unit custom,200 units,"$6,000–$18,000/yr",2–3 wks,Yes,Custom EPS molding for aerospace; VA-based,
AF-02,EPS/polystyrene outer shell,Airframe & Structure,P1/P2,Low,Styrochem International,Finland,Europe,🇫🇮,Low,4,$4–$12/unit,300 units,"$8,000–$25,000/yr",6–8 wks,Yes,High-quality EPS; European origin adds geo diversity,
AF-03,Fixed wing panel (CF),Airframe & Structure,P1/P2,High,Toray Composite Materials America,USA,North America,🇺🇸,Low,5,$200–$400/kg prepreg,50 kg,"$120,000–$250,000/yr",2–4 wks,Yes,Primary wing spar and skin material; T800 series standard,
AF-03,Fixed wing panel (CF),Airframe & Structure,P1/P2,High,Teijin Carbon America,USA,North America,🇺🇸,Low,5,$190–$360/kg,50 kg,"$100,000–$220,000/yr",3–5 wks,Yes,Tenax-E HTS40 and STS40 fibers; aerospace-qualified,
AF-03,Fixed wing panel (CF),Airframe & Structure,P1/P2,High,Solvay Composite Materials,Belgium,Europe,🇧🇪,Low,5,$220–$420/kg,100 kg,"$130,000–$280,000/yr",7–12 wks,Yes,CYCOM aerospace prepregs; used in UAV wing structures globally,
AF-03,Fixed wing panel (CF),Airframe & Structure,P1/P2,High,Mitsubishi Chemical Advanced Materials,Japan,Asia,🇯🇵,Medium,5,$210–$390/kg,50 kg,"$110,000–$230,000/yr",8–14 wks,Yes,TR50S/TR30S fiber; Japan-origin; lower geo risk than China,
