id,component,category,platform,criticality_label,criticality,normal_lead_time,peak_lead_time,lead_time_score,viable_suppliers,capacity_score,geo_risk_view,geo_score,composite_risk,priority_score,recommendation,note,supplier_preview,bom_pct,price_volatility_score,single_source_exposure
AF-01,Carbon fiber composite fuselage,Airframe & Structure,P1/P2,High,4,2–4 wks,8–14 wks incl. ship,3,6,2,"Moderate concentration, but diversified options exist",2,2.3,9.2,Monitor,Inner structural frame; proprietary layup used by Zipline. Kevlar-reinforced section per EFC source.,"Toray Composite Materials America, Hexcel Corporation, DragonPlate (Allred & Associates) +3 more",6.0,3,1
AF-02,Polystyrene / EPS outer shell,Airframe & Structure,P1/P2,Low,1,2–3 wks,6–8 wks,3,3,3,Mixed geographic exposure with some diversification,1,2.2,2.2,Monitor,Frangible outer body designed to break on impact to absorb energy. Standard EPS foam.,"Universal Forest Products, Radva Corporation, Styrochem International",2.0,2,3
AF-03,Fixed wing panel (carbon fiber),Airframe & Structure,P1/P2,High,4,3–5 wks,8–14 wks,3,4,2,"Moderate concentration, but diversified options exist",2,2.3,9.2,Monitor,11 ft wingspan on P1. Provides aerodynamic lift during cruise. Ailerons integrated.,"Toray Composite Materials America, Teijin Carbon America, Solvay Composite Materials +1 more",6.0,3,2
AF-04,Tail assembly (elevator + rudder),Airframe & Structure,P1/P2,High,4,2–4 wks,8–14 wks,4,3,3,Mixed geographic exposure with some diversification,1,2.5,10.0,Monitor,Horizontal stabilizer (pitch control) and vertical stabilizer (yaw). Carbon fiber/composite.,"Protech Composites, DragonPlate, CRP Technology (CRP USA)",6.0,3,3
AF-05,Servo actuators (control surfaces),Airframe & Structure,P1/P2,High,4,3–5 wks,6–10 wks,3,5,2,"Moderate concentration, but diversified options exist",2,2.3,9.2,Monitor,"Moves ailerons, elevator, rudder. P1 confirmed dual redundant servo linkages.","Hitec RCD (Servoland), Futaba Corporation, MKS Servos USA +2 more",5.0,3,2
AF-06,Pushrods and control linkages,Airframe & Structure,P1/P2,Med,3,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Mechanical linkages from servo to control surface. Aluminum or carbon fiber rods.,TBD,4.0,3,
AF-07,Droid airframe (P2 only),Airframe & Structure,P2,High,4,TBD,TBD,,,,Supplier mapping pending for this component,,,,Supplier mapping pending,Separate sub-vehicle housed in P2 Zip belly. Styrofoam + carbon fiber per MKBHD/IEEE Spectrum.,TBD,5.0,3,
PR-01,Brushless DC motor (cruise),Propulsion,P1/P2,High,4,2–6 wks,8–14 wks,3,6,2,"Moderate concentration, but diversified options exist",2,2.3,9.2,Monitor,P1 uses 2 motors for redundancy — can fly on single motor. Key supply chain risk item.,"KDE Direct, T-Motor (Nanchang), NeuMotors +3 more",5.0,3,1
PR-02,Electronic Speed Controller (ESC),Propulsion,P1/P2,High,4,5–10 wks,8–12 wks,1,6,2,High concentration risk with significant exposure to elevated-risk sourcing,2,1.7,6.8,Monitor,One ESC per motor. Regulates power from battery to motor. Independent per motor for redundancy.,"Hobbywing Technology, Castle Creations, T-Motor (ESC line) +3 more",5.0,3,1
PR-03,Fixed propellers (main),Propulsion,P1/P2,Med,3,1–2 wks,6–10 wks,5,4,2,"Moderate concentration, but diversified options exist",2,2.9,8.7,Dual-source candidate,Converts rotational motion to thrust. Two-blade folding type typical for fixed-wing cruise efficiency.,"KDE Direct (CF Propellers), T-Motor Propellers, APC Propellers +1 more",5.0,3,2
